Player,year_start,DraftRank,Is_Undrafted,season,Is_Active,Salary_Cap_At_Start,BRI_Factor,Salary_Percentage,Year3_WS,Year4_WS,Age,Pos,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,FG%,G,GS,MP,FG,FGA,Fg%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year_3,year_4
Larry Bird,1980,6,FALSE,13,FALSE,3.6,1.1,3.266,12.5,14,23.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.476,82,82,37.75,8.65,18.05,0.476,0.45,1.3,0.338,8.1,16.75,0.485,0.4895,3.6,4.2,0.8495,2.45,8.2,10.65,5,1.85,0.7,3.35,3.15,21.25,20.2,0.533,0.0735,0.232,7.65,23.7,15.85,19.45,2.35,1.05,14.45,24.8,5.15,5.85,11,0.171,2.75,1.65,4.4,5,,
Dudley Bradley,1980,13,FALSE,9,FALSE,3.6,1.1,2.2188,1.4,1.1,22.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.463,82,31,23.75,3.3,7.1,0.463,0,0.15,0.2625,3.25,7,0.468,0.4645,1.6,2.15,0.742,0.85,1.7,2.55,2.7,2.45,0.55,1.75,2.65,8.2,13.6,0.5085,0.0185,0.302,3.7,7.75,5.65,14.75,4.75,1.2,17.8,16.3,0.6,2.9,3.5,0.0865,-1.9,3.2,1.3,1.6,,
Bill Cartwright,1980,3,FALSE,15,FALSE,3.6,1.1,4.6188,5,10.1,22.5,C,FALSE,FALSE,FALSE,FALSE,TRUE,0.5505,82,82,37.05,7.8,14.2,0.5505,0,0,0,7.8,14.2,0.5505,0.5505,5.25,6.6,0.7925,2.2,6,8.2,1.7,0.6,1.1,2.55,3.3,20.9,18.15,0.6095,0.0005,0.4645,6.35,18.45,12.3,6.3,0.75,1.65,13.05,21.05,7.3,2.6,9.85,0.156,1.65,-0.85,0.85,2.2,,
Jeff Cook,1980,49,FALSE,8,FALSE,3.6,1.1,1,2,0.6,23.5,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.4665,72.5,,20.7,2.8,6,0.4665,0,0.05,0,2.8,5.9,0.471,0.4665,1.45,2,0.7255,1.8,3.05,4.8,1.9,0.7,0.5,1.45,2.25,7,12.8,0.5185,0.0095,0.3605,9.95,16.35,13.15,12,1.55,1.25,17.6,16.25,0.85,2.55,3.45,0.112,-0.9,0.65,-0.25,0.7,,
Hollis Copeland,1980,46,FALSE,2,FALSE,3.6,1.1,1,0.1,,24,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.495,75,,15.2,2.4,4.9,0.495,0,0,0,2.4,4.9,0.497,0.495,0.8,1.1,0.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7,11,0.526,0.005,0.234,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,0.5,0.8,1.2,0.052,-1.7,0,-1.8,0.1,,
John Coughran,1980,74,FALSE,1,FALSE,3.6,1.1,1,,,28,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.358,24,,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3,0.375,0.37,0.3,0.6,0.571,0.1,0.7,0.8,0.5,0.3,0,0.5,1,2.8,6,0.39,0.111,0.173,1.3,12.1,6.5,10.6,2.1,0.4,13,25.8,-0.4,0.1,-0.3,-0.086,-5.6,-0.9,-6.5,-0.3,,
Paul Dawkins,1980,185,FALSE,1,FALSE,3.6,1.1,1,,,22,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.47,57,,13.6,2.5,5.3,0.47,0,0.1,0.2,2.5,5.2,0.475,0.472,0.6,0.8,0.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2,5.5,11,0.492,0.017,0.16,6.6,12,9.4,14.8,2.1,0.7,19.1,22,-0.5,0.4,-0.1,-0.009,-2.9,-1.3,-4.2,-0.4,,
Greg Deane,1980,67,FALSE,1,FALSE,3.6,1.1,1,,,22,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.182,7,,6.9,0.3,1.6,0.182,0.1,0.1,1,0.1,1.4,0.1,0.227,0.7,1,0.714,0.3,0.6,0.9,0.9,0,0,0.4,0.4,1.4,4.5,0.355,0.091,0.636,5.1,9.4,7.3,15.4,0,0,17.6,15.3,-0.1,0,-0.1,-0.07,-3.8,-1,-4.8,-0.1,,
Larry Demic,1980,9,FALSE,3,FALSE,3.6,1.1,2.6667,-0.1,,22.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.47,79,,17.75,2.25,4.85,0.47,0,0,0,2.25,4.85,0.472,0.47,1.05,1.7,0.6155,1.95,2.6,4.55,0.6,0.45,0.3,1.4,2.85,5.55,8.9,0.5005,0.004,0.3545,12.1,16.35,14.25,4,0.95,0.85,19.05,15.4,-0.3,1.05,0.75,0.0395,-3.5,-1.55,-5.1,-1.25,,
Terry Duerod,1980,48,FALSE,4,FALSE,3.6,1.1,1,0.2,-0.2,23.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.466,58.5,0,14.45,3.15,6.8,0.458,0.2,0.55,0.3915,2.95,6.25,0.465,0.473,0.65,0.9,0.719,0.35,0.75,1.2,1.2,0.45,0.15,0.95,1,7.1,12.75,0.494,0.0785,0.1425,3.25,6.25,4.7,12.85,1.6,0.45,11.7,23.4,0.3,0.2,0.45,0.022,-1.2,-1.5,-2.7,-0.2,,
Roy Hamilton,1980,10,FALSE,2,FALSE,3.6,1.1,2.5298,,,22.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.367,36.5,,10.25,1.3,3.5,0.367,0,0,0,1.3,3.5,0.3685,0.367,1.2,2.05,0.5935,1.3,0.95,2.25,1.35,0.35,0.05,1.3,1.05,3.8,9.75,0.4295,0.0035,0.595,23.8,13.85,18.8,10.5,0.95,0.1,22.8,27.45,-0.35,0.15,-0.2,-0.0715,-3.65,-0.9,-4.55,-0.3,,
Gerald Henderson,1980,12,FALSE,13,FALSE,3.6,1.1,2.3094,3.6,2.3,24.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.4755,79,6,16.8,2.85,6.05,0.4755,0,0.15,0.198,2.85,5.9,0.4825,0.4775,1.3,1.8,0.705,0.5,0.85,1.35,2.25,0.8,0.15,1.7,1.75,7,11.55,0.515,0.022,0.3045,3.55,5.45,4.55,18.4,2.15,0.6,19.85,20.5,-0.05,1.5,1.5,0.0575,-1.65,0.15,-1.5,0.1,,
Gerald Henderson,1980,12,FALSE,13,FALSE,3.6,1.1,2.3094,3.6,2.3,24.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.4755,55.5,15,16.35,2.35,5.4,0.405,0.1,0.45,0.2025,2.25,4.95,0.43,0.418,1.35,1.75,0.765,0.5,1.6,2.15,0.9,0.45,0.35,0.6,1.15,6.1,11.45,0.481,0.123,0.369,4.35,12.45,8.4,8.35,1.55,1.85,9.6,19.05,0.4,0.95,1.4,0.062,-2.35,0.15,-2.15,0.05,,
Johnny High,1980,24,FALSE,4,FALSE,3.6,1.1,1.633,,1.2,22.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.4365,81.5,,17.65,2.4,5.5,0.4365,0,0.2,0.113,2.35,5.35,0.4475,0.438,1.9,2.75,0.6835,0.95,1.5,2.45,2,1.25,0.25,1.9,2.6,6.7,10.45,0.4995,0.032,0.5045,6.3,9.3,7.85,14.35,3.15,0.75,22.45,19.1,-0.65,2.45,1.8,0.058,-3.35,1.4,-1.95,0.05,,
Phil Hubbard,1980,15,FALSE,10,FALSE,3.6,1.1,2.0656,1.8,3.4,23.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.479,72,,23.6,4.35,9,0.479,0,0,0.1665,4.35,9,0.4805,0.4795,3.15,4.35,0.72,2.4,3.8,6.15,1.5,0.9,0.25,2.4,3.6,11.8,14.55,0.539,0.0035,0.486,10.65,18.65,14.5,9.15,1.75,0.45,17.85,22.25,1.25,1.8,3.05,0.079,-1.5,-0.95,-2.45,-0.1,,
Geoff Huston,1980,50,FALSE,8,FALSE,3.6,1.1,1,3,3.4,22.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.439,76,,21.5,3.5,7.5,0.4395,0,0.15,0.188,3.5,7.4,0.4485,0.443,1.15,1.55,0.7225,0.4,0.85,1.25,3.55,0.6,0.1,1.6,1.5,8.15,10.2,0.4715,0.038,0.1915,1.8,4.85,3.3,22.55,1.55,0.25,18.4,17.25,0.5,0.15,0.7,0.0085,-1.7,-1.6,-3.3,-0.35,,
Abdul Jeelani,1980,50,FALSE,2,FALSE,3.6,1.1,1,,,25.5,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.4675,71.5,,16.75,3.25,7,0.4675,0,0.05,0,3.25,7,0.4705,0.4675,2.4,2.95,0.8015,1.4,2.1,3.5,1.1,0.6,0.5,1.4,1.95,9,17.1,0.539,0.0065,0.4305,8.9,14.6,11.65,10.4,1.7,1.7,14.55,24.05,1.55,1.15,2.7,0.1055,0.6,-0.4,0.15,0.65,,
Magic Johnson,1980,1,FALSE,13,FALSE,3.6,1.1,8,12.9,12.5,20.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.531,57,,36.7,7.45,14.1,0.531,0.1,0.45,0.201,7.4,13.65,0.541,0.534,4.75,6.05,0.785,2.45,5.75,8.15,7.95,2.9,0.6,3.95,2.75,19.8,23.15,0.592,0.031,0.435,7.8,15.9,12.15,28.5,3.7,0.9,19.05,22.6,5,3.45,8.45,0.2025,4.35,2.5,6.8,4.3,,
Major Jones,1980,20,FALSE,6,FALSE,3.6,1.1,1.7889,1.3,0.1,26.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.472,75,,16.8,2,4.25,0.472,0,0,0.1665,2,4.2,0.4735,0.4725,0.8,1.4,0.5995,1.6,2.45,4,0.7,0.45,0.55,1.1,1.95,4.85,10.3,0.5005,0.006,0.3385,10.4,16.35,13.3,5.4,1.2,1.85,18.2,14.2,0.2,1.1,1.25,0.0505,-2.1,-0.5,-2.6,-0.15,,
Greg Kelser,1980,4,FALSE,6,FALSE,3.6,1.1,4,0.8,3.9,22.5,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.4465,37.5,,25.45,5.2,11.65,0.4465,0.05,0.2,0.1,5.15,11.45,0.4515,0.448,2.8,4.15,0.6805,2.3,2.85,5.15,2,1.3,0.95,2.95,3.55,13.25,13.95,0.492,0.016,0.357,9.7,12.85,11.25,11.7,2.35,2,18,25.5,-0.15,0.9,0.7,0.027,-1.7,-0.35,-2.1,0.05,,
Reggie King,1980,18,FALSE,6,FALSE,3.6,1.1,1.8856,4.8,1.6,22.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.5295,81.5,,29.45,4.45,8.4,0.5295,0,0,0,4.45,8.4,0.53,0.5295,2.6,3.75,0.705,2.55,5.75,8.3,1.4,1.05,0.45,1.6,2.8,11.55,15.2,0.574,0.001,0.442,9.45,21.45,15.35,6.35,1.7,0.9,14.05,15.8,3.6,3.65,7.25,0.1455,0.15,0.35,0.45,1.5,,
Sidney Moncrief,1980,5,FALSE,11,FALSE,3.6,1.1,3.5777,13.4,13.2,22.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.5045,78.5,,25.2,3.85,7.55,0.5045,0,0.05,0.111,3.85,7.45,0.507,0.5055,3.5,4.4,0.7995,2.15,2.6,4.75,2.5,1,0.35,1.65,1.7,11.25,16.95,0.589,0.007,0.593,9.95,11.15,10.55,12.4,1.95,0.75,15.25,17.5,4.85,2.45,7.4,0.173,2.4,0.25,2.65,2.45,,
Calvin Natt,1980,8,FALSE,11,FALSE,3.6,1.1,2.8284,9.3,9.8,23.5,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.4885,76,,32.55,6.65,13.65,0.488,0.05,0.1,0.4165,6.6,13.55,0.4885,0.49,3.3,4.6,0.7185,2.55,4.8,7.35,2.15,1.15,0.3,2.35,2.55,16.65,15.9,0.5325,0.0085,0.3395,8.25,15.65,11.9,9.55,1.6,0.6,13.45,21.75,2.85,2.85,5.65,0.1075,0.65,-0.8,-0.2,1.25,,
Jim Paxson,1980,3,FALSE,11,FALSE,3.6,1.1,4.6188,7.5,10.2,22.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.4735,75.5,,25.9,5,10.1,0.4735,0,0.35,0.056,5,9.75,0.489,0.4745,1.6,2.2,0.7225,0.6,1.45,2.1,2.9,1.25,0.1,1.5,1.75,11.65,13,0.5035,0.0375,0.2115,2.55,6.45,4.5,15.6,2.1,0.2,12.75,19.35,2.4,1.6,4,0.0735,-1.15,-0.2,-1.35,0.8,,
Cliff Robinson,1980,11,FALSE,11,FALSE,3.6,1.1,2.4121,1.9,4.4,19.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.48,66.5,,26.3,6.95,14.45,0.48,0,0.05,0.625,6.95,14.4,0.48,0.4805,2.6,3.7,0.706,2.2,5.2,7.4,1.55,0.9,0.65,2.45,2.95,16.55,17.45,0.5135,0.003,0.2615,9.05,21.8,15.35,9.55,1.6,1.35,13.05,27.25,0.75,2.3,3.05,0.0845,0.1,-0.85,-0.75,0.55,,
Duck Williams,1980,96,FALSE,1,FALSE,3.6,1.1,1,,,23,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.447,77,,23.3,3,6.7,0.447,0,0.2,0,3,6.6,0.458,0.447,0.5,0.8,0.7,0.3,1.1,1.4,2.4,1.3,0.1,1.4,2.2,6.6,8.6,0.464,0.023,0.116,1.4,5.3,3.5,14.1,2.7,0.3,16.4,15.6,-0.9,0.6,-0.3,-0.009,-3.8,-0.2,-4,-0.9,,
Sly Williams,1980,21,FALSE,7,FALSE,3.6,1.1,1.7457,4.2,3.8,22.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.4415,62,,19.65,3.5,7.65,0.4415,0,0.1,0.125,3.5,7.5,0.4455,0.442,1.9,2.8,0.667,1.75,2.4,4.15,1.65,1,0.2,1.5,2.15,8.95,13.65,0.485,0.013,0.358,10.75,13.25,11.95,10.65,2.15,0.65,14.2,22.25,1,1.5,2.5,0.059,-1.1,-1,-2.1,0.7,,
Bubba Wilson,1980,101,FALSE,1,FALSE,3.6,1.1,1,,,24,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.28,16,,8.9,0.4,1.6,0.28,0,0,,0.4,1.6,0.28,0.28,0.2,0.4,0.5,0.4,0.6,1,0.8,0.1,0,0.5,0.7,1.1,2.1,0.308,0,0.24,4.5,8,6.2,10,0.7,0,22.4,10.3,-0.2,0,-0.2,-0.064,-4.4,-0.9,-5.3,-0.2,,
Tony Zeno,1980,32,FALSE,1,FALSE,3.6,1.1,1,,,22,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.286,8,0,7.4,0.8,2.6,0.286,0,0,,0.8,2.6,0.286,0.286,0.3,0.3,1,0.4,1.4,1.8,0.1,0.5,0.4,1.1,1.6,1.8,0.2,0.32,0,0.095,5.1,19.9,12.3,2.1,3.1,2.8,29.1,20.3,-0.3,0.1,-0.2,-0.16,-6.4,-0.1,-6.5,-0.2,,
Pat Cummings,1980,59,FALSE,12,FALSE,3.6,1.1,1,1.8,4,23.5,C,FALSE,FALSE,FALSE,FALSE,TRUE,0.522,72.5,,13.65,3,5.7,0.522,0,0,0,3,5.7,0.523,0.522,1.3,1.8,0.7355,1.2,2.4,3.65,0.75,0.35,0.25,1.25,2.3,7.3,15.25,0.561,0.002,0.318,10.15,18.9,14.65,8.1,1.2,1,16.4,22.5,1.1,1.45,2.6,0.126,-1.2,-0.6,-1.8,0.05,,
Mike Evans,1980,21,FALSE,9,FALSE,3.6,1.1,1.7457,0.2,-0.2,24.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.454,75,,14.3,2.25,5,0.454,0.1,0.35,0.2145,2.2,4.6,0.4705,0.4625,0.7,1,0.7315,0.35,0.95,1.3,2.65,0.65,0.1,1.3,2.05,5.35,10.45,0.493,0.0695,0.2015,2.6,7.15,4.95,22.95,1.9,0.3,19.35,17.95,0.1,0.75,0.85,0.043,-2.3,-0.6,-2.9,-0.3,,
Gary Garland,1980,30,FALSE,1,FALSE,3.6,1.1,1.4606,,,22,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.435,78,,14.2,2,4.6,0.435,0.1,0.2,0.316,1.9,4.3,0.442,0.444,0.2,0.3,0.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1,4.3,10.2,0.454,0.053,0.073,4.6,8.5,6.5,17.9,2.3,0.2,16.6,15.6,-0.2,0.7,0.5,0.02,-2.5,-0.1,-2.6,-0.2,,
Dave Greenwood,1980,2,FALSE,12,FALSE,3.6,1.1,5.6569,6.5,3.6,22.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.48,82,82,33.5,6,12.45,0.48,0,0.05,0.0715,6,12.35,0.4815,0.48,3.35,4.3,0.779,2.85,6.3,9.1,2.45,0.8,1.55,2.45,3.6,15.35,16.4,0.5345,0.0045,0.3445,9.95,20.5,15.4,10.7,1.2,2.6,14.6,20.4,3.65,3.25,6.8,0.119,0.35,0.1,0.45,1.7,,
Irv Kiffin,1980,200,TRUE,1,FALSE,3.6,1.1,1,,,28,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.333,26,,8.2,1.2,3.7,0.333,0,0,,1.2,3.7,0.333,0.333,0.7,1,0.72,0.5,1.1,1.5,0.7,0.4,0.1,1.2,1.7,3.2,3.7,0.383,0,0.26,6.2,13.9,10.1,10.9,2.1,0.5,21.9,24.5,-0.7,0.1,-0.6,-0.128,-7.1,-1.5,-8.6,-0.5,,
James Bailey,1980,6,FALSE,9,FALSE,3.6,1.1,3.266,0.1,0,22.5,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.4745,74.5,,20.9,3.6,7.4,0.4745,0,0,0.5,3.6,7.4,0.4745,0.475,2.05,2.95,0.691,1.7,3.5,5.15,0.8,0.6,1.25,1.95,2.85,9.35,13.4,0.5205,0.001,0.3895,9.35,17.95,13.7,5.55,1.4,3.6,18.65,20.85,0.5,2.5,2.95,0.0785,-2.95,0.75,-2.2,0.2,,
Vinnie Johnson,1980,7,FALSE,13,FALSE,3.6,1.1,3.0237,0.2,7.7,23.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.4625,59.5,,18.55,3.2,6.35,0.4625,0,0.05,0.1,3.2,6.3,0.4655,0.4625,1.7,2.15,0.794,1.45,1.5,2.95,2.8,0.75,0.15,1.9,1.75,8.1,13.85,0.5205,0.0075,0.3415,7.75,9.85,8.8,22.05,2.2,0.6,21.7,20.4,1.85,1.2,3.05,0.0765,-0.5,0.3,-0.15,1.15,,
Jim Spanarkel,1980,16,FALSE,5,FALSE,3.6,1.1,2,5.2,1,22.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.469,61,0,19.7,3.35,7.2,0.469,0,0.1,0.05,3.35,7.1,0.474,0.469,3,3.4,0.859,1.2,1.3,2.5,2.05,0.85,0.2,1.75,2.15,9.7,14,0.554,0.0125,0.4565,6.8,7,6.9,15.85,1.9,0.6,19,21.85,2.25,0.8,2.95,0.0815,-0.6,-0.55,-1.2,0.85,,
Bernard Toone,1980,37,FALSE,1,FALSE,3.6,1.1,1,,,23,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.359,23,0,5.4,1,2.8,0.359,0,0.3,0.143,1,2.5,0.386,0.367,0.3,0.4,0.8,0.5,1,1.5,0.5,0.2,0.2,0.7,0.9,2.4,8.9,0.402,0.109,0.156,10.9,17.8,14.5,13.8,1.5,2.2,19,27.2,-0.3,0.2,-0.1,-0.036,-5.1,-0.3,-5.4,-0.1,,
Brad Holland,1980,14,FALSE,3,FALSE,3.6,1.1,2.1381,0,,23.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.423,39.5,,6.2,1.15,2.7,0.423,0.05,0.25,0.2665,1.1,2.45,0.4435,0.433,0.65,0.8,0.826,0.15,0.4,0.55,0.6,0.45,0,0.55,0.85,3,12.05,0.4835,0.0855,0.2975,2.95,6.75,5,12.3,3.4,0.25,14.75,23.75,-0.05,0.3,0.2,0.0525,-3.85,0.25,-3.6,-0.1,,
Wiley Peck,1980,19,FALSE,1,FALSE,3.6,1.1,1.8353,,,22,SF,FALSE,FALSE,TRUE,FALSE,FALSE,0.432,52,,12.1,1.4,3.3,0.432,0,0,0,1.4,3.2,0.437,0.432,0.7,1.1,0.618,1.3,2.3,3.5,0.6,0.3,0.4,0.9,1.9,3.5,8.9,0.466,0.012,0.325,11.5,19.6,15.6,6.1,1.2,1.9,19.9,14.5,-0.2,0.5,0.3,0.023,-3.4,-0.9,-4.2,-0.4,,
Allen Leavell,1980,104,FALSE,10,FALSE,3.6,1.1,1,4.8,3.8,22.5,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.487,78,,24.45,3.8,7.7,0.487,0,0.2,0.138,3.7,7.5,0.4975,0.489,1.95,2.4,0.823,0.55,1.45,2.05,5.15,1.4,0.3,2.55,2.3,9.5,14.5,0.5415,0.03,0.3045,2.45,6.85,4.6,28.35,2.75,0.6,22.45,18.55,1.55,1.4,2.95,0.073,0.05,0.15,0.2,1.15,,
Ollie Mack,1980,25,FALSE,3,FALSE,3.6,1.1,1.6,-0.1,,22.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.4415,57.5,,19.75,3.15,6.65,0.476,0,0.1,0,3.15,6.55,0.486,0.476,1,1.45,0.6925,1,1.45,2.45,1.8,0.7,0.1,0.9,1.4,7.25,11.85,0.5055,0.02,0.231,5.75,7.9,6.8,12.75,1.65,0.2,11.6,16.75,0.85,0.45,1.3,0.0565,-0.75,-0.7,-1.4,0.2,,
Clint Richardson,1980,36,FALSE,8,FALSE,3.6,1.1,1,1,3.3,23.5,SG,FALSE,TRUE,FALSE,FALSE,FALSE,0.473,64.5,17.5,18.05,3,6.35,0.473,0,0.05,0.1665,2.95,6.3,0.474,0.4735,0.8,1.15,0.7,1.1,1.25,2.35,2.05,0.5,0.2,1.3,1.6,6.85,11.05,0.499,0.0055,0.181,6.8,7.05,6.95,15.25,1.2,0.6,16.25,18.3,0.45,1.3,1.75,0.0695,-1.35,-0.5,-1.85,0.05,,
Earl Evans,1980,157,FALSE,1,FALSE,3.6,1.1,1,,,24,PF,FALSE,FALSE,FALSE,TRUE,FALSE,0.45,36,,10.6,1.8,3.9,0.45,0.2,0.5,0.389,1.6,3.4,0.459,0.475,0.7,1.2,0.571,0.7,1.4,2.1,1,0.4,0,1,1.8,4.4,10.3,0.495,0.129,0.3,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,-0.1,0.2,0.1,0.015,-2.8,-1.2,-4,-0.2,,
Steve Malovic,1980,149,FALSE,1,FALSE,3.6,1.1,1,,,23,PF,FALSE,FALSE,FALSE,TRUE,FALSE,,39,,11.4,0.8,1.7,0.463,0,0,,0.8,1.7,0.463,0.463,0.5,0.7,0.667,0.9,1.3,2.2,0.7,0.2,0.2,0.6,1.3,2.1,7.2,0.507,0,0.403,8.4,12.3,10.3,6.9,0.8,0.7,22.6,9,0.1,0.1,0.3,0.027,-2.7,-0.7,-3.4,-0.2,,
Terry Crosby,1980,62,FALSE,1,FALSE,3.6,1.1,1,,,23,PG,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,4,,7,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,0.5,1,0,0.3,0.3,1.8,0,0,1.3,1,1.5,3.5,0.615,0,0.5,0,4,1.9,30,0,0,50.6,14.1,0,0,0,-0.051,-4.4,-0.4,-4.8,0,,
